Title,Genre,Release Date,Release Year,Description,Duration,Critic Rating,Audience Rating,Consensus Text,URL,Type,netflix,max-us,fandango,vudu,disney-plus-us,paramount-plus-us,peacock,apple-tv-us,apple-tv-plus-us,hulu,amazon-prime-video-us
Jury Duty,Comedy/,"2023 - Present,",2023,"What to Watch: Rotten Tomatoes Staff Pick's Edition - Jury Duty, Jawan, Colin From Accounts, and More",N/A,83%,94%,N/A,https://www.rottentomatoes.com/tv/jury_duty,TV Show,No,No,No,No,No,No,No,No,No,No,Yes
It Follows,Horror/,"Released Mar 27, 2015,",2015,"After carefree teenager Jay (Maika Monroe) sleeps with her new boyfriend, Hugh (Jake Weary), for the first time, she learns that she is the latest recipient of a fatal curse that is passed from victim to victim via sexual intercourse. Death, Jay learns, will creep inexorably toward her as either a friend or a stranger. Jay's friends don't believe her seemingly paranoid ravings, until they too begin to see the phantom assassins and band together to help her flee or defend herself.","1h 41m,",88%,44%,"Critics Consensus
        
Smart, original, and above all terrifying, It Follows is the rare modern horror film that works on multiple levels -- and leaves a lingering sting.
Read Critics Reviews",https://www.rottentomatoes.com/m/it_follows,Movie,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes
SAS: Rise of the Black Swan,Action,"2021,",2021,SAS: Red Notice: Trailer 1,"2h 3m,",67%,39%,"Critics Consensus
        
Whether it's called SAS: Red Notice or SAS: Rise of the Black Swan, this is a thoroughly mediocre action thriller.
Read Critics Reviews",https://www.rottentomatoes.com/m/sas_red_notice,Movie,Yes,No,No,Yes,No,No,No,Yes,No,No,No
Maid,Drama,"2021 - Present,",2021,Maid: Limited Series Trailer,N/A,94%,84%,N/A,https://www.rottentomatoes.com/tv/maid,TV Show,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes
Megamind vs. the Doom Syndicate,Kids & Family/,"2024,",2024,Megamind vs. the Doom Syndicate: Trailer,"1h 23m,",9%,7%,N/A,https://www.rottentomatoes.com/m/megamind_vs_the_doom_syndicate,Movie,No,No,No,No,No,No,Yes,No,No,No,No
In the Land of Saints and Sinners,Action/,"Released Mar 29,",N/A,In the Land of Saints and Sinners: Trailer 1,"1h 46m,",20%,34%,"Critics Consensus
        
Well-written and classically constructed, In the Land of Saints and Sinners is one of the better action thrillers Liam Neeson's made in recent years.
Read Critics Reviews",https://www.rottentomatoes.com/m/in_the_land_of_saints_and_sinners,Movie,No,No,No,Yes,No,No,No,Yes,No,No,Yes
Parasyte: The Grey,Sci-Fi/,"2024 - Present,",2024,Parasyte: The Grey: Season 1 Trailer,N/A,100%,13%,N/A,https://www.rottentomatoes.com/tv/parasyte_the_grey,TV Show,Yes,No,No,No,No,No,No,No,No,No,No
Memento,Mystery & Thriller,"Released Sep 5, 2000,",2000,Memento: Trailer 1,"1h 56m,",20%,27%,"Critics Consensus
        
Christopher Nolan skillfully guides the audience through Memento's fractured narrative, seeping his film in existential dread.
Read Critics Reviews",https://www.rottentomatoes.com/m/memento,Movie,No,No,No,Yes,No,No,Yes,No,No,No,Yes
Miss Night and Day,Romance/,"2024 - Present,",2024,"A woman who magically switches between her 20s and 50s lands an internship at the Prosecution Service, caught between two generations and a tough boss.",N/A,,91%,N/A,https://www.rottentomatoes.com/tv/miss_night_and_day,TV Show,Yes,No,No,No,No,No,No,No,No,No,No
The American Society of Magical Negroes,Comedy/,"Released Mar 15,",N/A,The American Society of Magical Negroes: Exclusive Featurette - Origin Story,"1h 44m,",67%,80%,"Critics Consensus
        
The American Society of Magical Negroes has a promising premise, but is too timid to fully engage with its most provocative ideas.
Read Critics Reviews",https://www.rottentomatoes.com/m/the_american_society_of_magical_negroes,Movie,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes
Despicable Me 4,Kids & Family/,"Now Playing,",N/A,Despicable Me 4: Featurette - Mega Minions with Superpowers,"1h 35m,",58%,53%,"Critics Consensus
        
Fast paced and teeming with slapstick gags, Despicable Me 4 is as overstuffed as a piñata but full of enough candy to give audiences an enjoyable sugar rush.
Read Critics Reviews",https://www.rottentomatoes.com/m/despicable_me_4,Movie,No,No,Yes,Yes,No,No,No,No,No,No,No
Kaleidoscope,Crime/,"2023 - Present,",2023,Kaleidoscope: Season 1 Trailer,N/A,49%,86%,N/A,https://www.rottentomatoes.com/tv/kaleidoscope,TV Show,Yes,No,No,No,No,No,No,No,No,No,No
Find Me Falling,Romance/,"2024,",2024,Find Me Falling: Trailer 1,"1h 33m,",38%,70%,N/A,https://www.rottentomatoes.com/m/find_me_falling,Movie,Yes,No,No,No,No,No,No,No,No,No,No
